unit,facility,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 
100000HAB,HBED,AT	794.7760 	784.7762 	780.6526 	773.3374 	773.4491 	768.7083 	766.1960 	774.7096 	767.8849 	765.8923 	762.9290 	764.7174 
100000HAB,HBED,BE	776.8712 	765.6877 	757.5112 	750.8096 	747.3369 	742.4548 	670.4046 b	663.1187 	657.4246 	650.8132 	642.5664 	634.8626 
100000HAB,HBED,BG	741.1349 	710.4988 	648.5379 	628.4993 	613.1347 	641.1711 	619.8062 	636.4295 	649.4089 	659.7250 	655.3745 	644.9223 
100000HAB,HBED,CH	628.7365 d	603.6498 d	594.5020 d	582.3954 d	566.9706 d	553.9245 d	539.1149 d	536.0134 d	521.0995 d	510.4321 d	496.3228 d	486.9952 d
100000HAB,HBED,CY	453.4432 	437.3211 	435.2857 	426.5640 	415.6692 	375.6955 	370.7208 	371.9499 	375.3758 	376.2341 	356.6238 	351.1654 
100000HAB,HBED,CZ	778.6458 b	775.2071 	775.8760 	772.2367 	763.5462 	755.2784 	742.4677 	730.6061 	718.7412 	711.4116 	702.5588 	683.5880 
100000HAB,HBED,DE	911.6400 	900.9516 	887.2983 	874.4135 	857.7776 	846.7417 	829.7080 	823.9077 	821.3606 	823.9450 	824.7717 	822.2398 
100000HAB,HBED,DK	429.3754 	421.8122 	428.5770 	413.3326 	397.1119 	385.6862 	379.1056 	369.1153 	357.0505 	349.3694 	349.7857 	: 
100000HAB,HBED,EE	717.6263 	671.5048 	607.0761 	580.4706 	569.9296 	541.7143 	556.4378 	547.7494 	561.6574 	534.6680 	523.9671 	530.9240 
100000HAB,HBED,EL	471.7205 	477.4083 	471.2701 	469.5599 	468.9243 	472.9031 	481.6899 	481.4540 	477.4544 	484.8459 	: 	: 
100000HAB,HBED,ES	367.7823 	359.4481 	353.6431 	345.0010 	341.6988 	336.1042 	331.4887 	327.1913 	322.5369 	318.6985 	315.1638 	308.8971 
100000HAB,HBED,EU28	: 	: 	: 	: 	592.2337 	583.7377 	573.5113 	564.4338 	: 	: 	: 	: 
100000HAB,HBED,FI	753.9689 b	746.2402 	735.1462 	724.3219 	709.9423 	705.2864 	698.6542 	673.3010 	656.8300 	625.2259 	585.3802 	552.1437 
