unit,facility,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 
100000HAB,HBED,FR	797.0074 	782.6992 	771.2519 	754.5616 	739.0438 	722.4856 	711.1110 	706.0040 	690.2725 	666.1143 	642.8043 	637.2017 
100000HAB,HBED,FX	821.8971 	799.5076 	787.5330 	772.0298 	752.6747 	736.6835 	720.4304 	709.6984 	702.3049 	: 	: 	: 
100000HAB,HBED,HR	603.2494 	599.2699 	566.8055 	561.1360 	552.5548 	545.0790 	545.6251 	548.6143 	547.4185 	537.3328 	561.9218 	578.5737 
100000HAB,HBED,HU	825.3574 	785.8298 	785.0682 	783.5292 	782.7532 	785.4217 	791.6798 	718.5917 b	710.5067 	714.3820 	718.1783 	718.7221 
100000HAB,HBED,IE	613.2177 	586.0470 	578.1360 	567.1933 	564.1161 	545.9488 	527.4695 	514.6054 	492.3308 	327.3871 b	310.8307 	294.7130 
100000HAB,HBED,IS	: 	: 	: 	: 	: 	: 	: 	415.6429 b	394.7532 	373.6275 	362.2174 	331.9609 
100000HAB,HBED,IT	470.7536 	461.3440 	443.3564 	415.8796 	398.6485 	399.9093 	393.8956 	384.4798 	372.7342 	362.6088 	357.0898 	342.4486 
100000HAB,HBED,LI	287.9505 	283.1837 	278.9814 	275.8337 	272.8830 	270.4841 	242.6041 	241.0527 	239.6222 	195.8508 b	216.5373 	214.8050 
100000HAB,HBED,LT	883.3171 	830.8122 	804.0196 	776.5318 	743.7149 	708.7828 	688.8167 	688.2592 	683.6575 	680.3205 	695.4339 	744.1489 
100000HAB,HBED,LU	: 	: 	: 	: 	639.3870 	578.5131 	565.1277 	566.8833 	556.8408 	546.6237 	536.7361 	: 
100000HAB,HBED,LV	873.4992 b	820.2934 	775.7981 	781.3476 	773.5583 	768.3942 	760.8129 	757.1286 	746.0856 	640.1358 	551.4716 	588.4314 
100000HAB,HBED,MK	505.7382 	493.6405 	481.0077 	480.7149 	477.1852 	469.7929 	462.6935 	456.3607 	454.6392 	447.8048 	459.0748 	450.7566 
100000HAB,HBED,MT	547.6817 	756.6891 b	748.2918 	742.8845 	745.6373 	744.6074 	754.9064 	780.3447 	734.3133 	481.4120 b	451.4635 	445.6780 
100000HAB,HBED,NL	482.6156 	465.0640 b	457.0830 	449.9824 	447.1502 	445.4570 	478.0345 b	474.1878 	469.8523 	465.6878 	: 	: 
100000HAB,HBED,NO	379.6956 	381.6560 	430.9897 b	426.9797 	419.2591 	404.3656 	400.9289 	380.0684 	351.6623 	334.8088 	329.6414 	331.5710 
100000HAB,HBED,PL	: 	: 	: 	667.8992 	666.8051 	652.0558 	647.2019 	642.3751 	661.9540 b	665.2800 	655.7111 	654.6945 
100000HAB,HBED,PT	373.2213 	367.3273 	358.4159 	358.7657 	358.2947 	354.2563 	345.8410 	341.4296 	337.0515 	335.1522 	335.9285 	337.8896 e
100000HAB,HBED,RO	769.3099 	783.3961 	766.3992 	674.3626 	673.7226 	677.2973 	674.1303 	653.8721 	656.9187 	662.0128 	628.4914 	612.4434 
100000HAB,HBED,SE	358.0321 	327.3621 b	312.8866 	305.1049 	301.1943 	293.2365 	288.7835 	286.3548 	280.5100 	275.8828 	272.6131 	270.5622 
100000HAB,HBED,SI	540.2417 	516.3499 	508.7415 	495.8078 	479.9171 	483.1855 	476.7131 	468.2830 	474.2456 	460.3198 	457.2430 	462.4320 
100000HAB,HBED,SK	785.5854 	766.8715 	756.8986 	723.8075 	689.8176 	677.0186 	671.1604 	675.3170 	655.7139 	650.5014 	644.3340 	605.5145 
100000HAB,HBED,TR	200.2448 	205.8162 	214.3756 	212.9615 	211.9534 	215.1835 	222.8294 	231.1166 	235.4385 	239.7833 	252.0284 	253.3519 
100000HAB,HBED,UK	409.7753 	403.7307 	398.1303 	395.3681 	386.4928 	373.4024 	355.6576 	340.7118 	335.5002 	329.0460 	295.2409 b	289.5790 
